video_id,title,published_at,view_count,like_count,comment_count,duration_seconds,days_live,duration_minutes,views_per_day,engagement_rate_pct,comments_per_10k_views,category,is_outlier_hit
E-F5XJ2jJ1k,"India-US Relations, China Competition & India’s Superpower Strategy | Dr. Samir | FO526 Raj Shamani",2026-06-23 15:39:30+00:00,414597,7343,805,4788.0,56.90064424334491,79.8,7286,1.97,19.4,Geopolitics & Defense,False
UVkmS2WTfFo,"Why Modern Dating Is Broken: AI Partners, Marriage & Love | Sandeep Das | FO525 Raj Shamani",2026-06-20 15:39:23+00:00,1913344,34304,4175,9109.0,59.90072526186342,151.8,31942,2.01,21.8,Startups & Business,True
9IxevWyzIhM,"How He Built World's Largest Spice Empire, Supplying Nestle & PepsiCo | Dr. Viju | FO524 Raj Shamani",2026-06-18 15:39:28+00:00,269656,6091,371,3167.0,61.90066739149305,52.8,4356,2.4,13.8,Culture & Society,False
NGV5S9j_oL4,"Russian Spy: Dark Reality of Mind Control, Seduction & Manipulation | Aliia Roza | FO523 Raj Shamani",2026-06-16 15:39:10+00:00,1590025,36987,1793,8294.0,63.900875724826385,138.2,24883,2.44,11.3,Geopolitics & Defense,True
YVlWj1LCv54,"Harvard MBA in 100 Minutes: Career Growth, Frameworks, Money & Skills | Ashwin | FO522 Raj Shamani",2026-06-13 15:39:06+00:00,803181,17435,866,6027.0,66.90092202112268,100.4,12006,2.28,10.8,True Crime & Forensics,False
qt2XslRMOto,"Nobel Laureate Explains India’s Economy, Poverty, GDP & AI | Abhijit Banerjee | FO521 Raj Shamani",2026-06-11 15:39:37+00:00,905929,16770,2164,5770.0,68.90056322482639,96.2,13148,2.09,23.9,Startups & Business,False
6FNRVY2vYXw,"Inside India's Bureaucracy: UPSC, IAS, Corruption & Political Power | Amit Kilhor |FO520 Raj Shamani",2026-06-09 15:39:39+00:00,4487413,123216,11568,5643.0,70.90054007667824,94.0,63292,3.0,25.8,Education & Exams,True
uokt0pavxhM,"Secret Handwriting Tricks For Wealth, Better Sex & Success | Imran Baig | FO519 Raj Shamani",2026-06-06 15:39:20+00:00,1000416,23821,2418,6011.0,73.90075998408565,100.2,13537,2.62,24.2,Finance & Wealth,False
lacFcgcHx6I,"Top Brain Scientist: Billionaire Brain, Anxiety & Addictions | Vidita Vaidya | FO518 Raj Shamani",2026-06-04 15:41:39+00:00,3284528,61659,2378,10322.0,75.89915118778936,172.0,43275,1.95,7.2,"Health, Science & Mind",True
sGpc8-f2e8U,"⁠Imtiaz Ali On Love, Heartbreak, Rockstar, Tamasha & Bollywood Filmmaking | FO517 Raj Shamani",2026-06-02 15:39:30+00:00,867779,18853,1436,7369.0,77.9006442433449,122.8,11140,2.34,16.5,Culture & Society,False
sdMHVIcPGwg,"Liquor License, Alcohol Tax & Liquor Business Secrets in India | Mokksh Sani | FO516 Raj Shamani",2026-05-30 15:39:30+00:00,360724,5950,484,7212.0,80.9006442433449,120.2,4459,1.78,13.4,Finance & Wealth,False
m7v7KLttM3k,"Why USA Attacks Countries: Navy SEAL Breaks Down Iran, Iraq & War | Jason Redman | FO515 Raj Shamani",2026-05-28 15:39:37+00:00,2144041,41270,1769,5822.0,82.90056322482639,97.0,25863,2.01,8.3,Geopolitics & Defense,True
kKNoBH0iE1k,How To Grow Your Salary To ₹1 Crore Using AI | Vaibhav Sisinty | FO514 Raj Shamani,2026-05-26 15:39:38+00:00,866279,22347,1629,9115.0,84.90055165075232,151.9,10203,2.77,18.8,Finance & Wealth,False
phCov5GMOl4,"NEET, Medical Colleges, Doctor Salaries & Organ Trafficking | Dr. Nachiket | FO513 Raj Shamani",2026-05-23 15:39:22+00:00,793514,20973,2354,5494.0,87.9007368359375,91.6,9027,2.94,29.7,"Health, Science & Mind",False
JCOb1w_LTOg,"Champion Mindset Explained: High Performance, Discipline & Obsession | Chris | FO512 Raj Shamani",2026-05-21 15:39:30+00:00,991544,28697,1940,8629.0,89.9006442433449,143.8,11029,3.09,19.6,Startups & Business,False
bRR9Hzi60YA,"How Hospitals Make Money: KIMS, Costs & Hospital Business Truth | Dr. Bhaskar | FO511 Raj Shamani",2026-05-19 15:39:39+00:00,244563,4749,427,4846.0,91.90054007667824,80.8,2661,2.12,17.5,Finance & Wealth,False
NuBo8fvnYw0,"India’s Real Crisis, Gold, Middle Class & Falling Rupee| Economic Analyst| Jayant |FO510 Raj Shamani",2026-05-16 15:39:36+00:00,4249194,76413,7744,7295.0,94.90057479890046,121.6,44775,1.98,18.2,Culture & Society,True
ZsPygh37hpw,"Sourav Ganguly on Leadership, Team Building, BCCI, Match-Fixing Era & Aggression | FO509 Raj Shamani",2026-05-14 15:39:05+00:00,1418716,31370,2561,5492.0,96.90093359519676,91.5,14641,2.39,18.1,Culture & Society,True
Zmz5gE9nJqY,"Inside The IIT Race: JEE, Placements & Future Of Engineering | Vishwa Mohan | FO508 Raj Shamani",2026-05-12 15:39:29+00:00,867174,22964,1939,6039.0,98.90065581741898,100.6,8768,2.87,22.4,Culture & Society,False
3otrmTL24OA,"⁠Kiara Advani On Marriage, Motherhood, Relationships, Bollywood & Heartbreak | FO507 Raj Shamani",2026-05-09 15:39:18+00:00,2317894,38957,2649,5813.0,101.9007831322338,96.9,22747,1.79,11.4,Culture & Society,True
X6wtL19fxmg,"Geopolitical Expert on China’s Debt Traps, AI, Wars & India’s Future | Dr Samir | FO506 Raj Shamani",2026-05-07 15:39:37+00:00,624548,10147,1163,6604.0,103.90056322482639,110.1,6011,1.81,18.6,Geopolitics & Defense,False
5w0-kcPdbNU,"How America Is Changing India: Globalization, Culture, Jobs & Identity | Shekhar | FO505 Raj Shamani",2026-05-05 15:39:00+00:00,337989,5992,924,7414.0,105.90099146556713,123.6,3192,2.05,27.3,Culture & Society,False
