video_id,title,published_at,view_count,like_count,comment_count,duration_seconds
sdMHVIcPGwg,"Liquor License, Alcohol Tax & Liquor Business Secrets in India | Mokksh Sani | FO516 Raj Shamani",2026-05-30T15:39:30Z,360724,5950,484,7212.0
m7v7KLttM3k,"Why USA Attacks Countries: Navy SEAL Breaks Down Iran, Iraq & War | Jason Redman | FO515 Raj Shamani",2026-05-28T15:39:37Z,2144041,41270,1769,5822.0
kKNoBH0iE1k,How To Grow Your Salary To ₹1 Crore Using AI | Vaibhav Sisinty | FO514 Raj Shamani,2026-05-26T15:39:38Z,866279,22347,1629,9115.0
phCov5GMOl4,"NEET, Medical Colleges, Doctor Salaries & Organ Trafficking | Dr. Nachiket | FO513 Raj Shamani",2026-05-23T15:39:22Z,793514,20973,2354,5494.0
JCOb1w_LTOg,"Champion Mindset Explained: High Performance, Discipline & Obsession | Chris | FO512 Raj Shamani",2026-05-21T15:39:30Z,991544,28697,1940,8629.0
bRR9Hzi60YA,"How Hospitals Make Money: KIMS, Costs & Hospital Business Truth | Dr. Bhaskar | FO511 Raj Shamani",2026-05-19T15:39:39Z,244563,4749,427,4846.0
NuBo8fvnYw0,"India’s Real Crisis, Gold, Middle Class & Falling Rupee| Economic Analyst| Jayant |FO510 Raj Shamani",2026-05-16T15:39:36Z,4249194,76413,7744,7295.0
ZsPygh37hpw,"Sourav Ganguly on Leadership, Team Building, BCCI, Match-Fixing Era & Aggression | FO509 Raj Shamani",2026-05-14T15:39:05Z,1418716,31370,2561,5492.0
Zmz5gE9nJqY,"Inside The IIT Race: JEE, Placements & Future Of Engineering | Vishwa Mohan | FO508 Raj Shamani",2026-05-12T15:39:29Z,867174,22964,1939,6039.0
3otrmTL24OA,"⁠Kiara Advani On Marriage, Motherhood, Relationships, Bollywood & Heartbreak | FO507 Raj Shamani",2026-05-09T15:39:18Z,2317894,38957,2649,5813.0
X6wtL19fxmg,"Geopolitical Expert on China’s Debt Traps, AI, Wars & India’s Future | Dr Samir | FO506 Raj Shamani",2026-05-07T15:39:37Z,624548,10147,1163,6604.0
5w0-kcPdbNU,"How America Is Changing India: Globalization, Culture, Jobs & Identity | Shekhar | FO505 Raj Shamani",2026-05-05T15:39:00Z,337989,5992,924,7414.0
23dbj3silMU,"Lakshya Sen on Champion Mindset, Olympic Heartbreak, Injuries & Comebacks | FO504 Raj Shamani",2026-05-02T15:39:00Z,222589,7621,513,7718.0
ig1VtIEFkcI,"Psychology of Love: Narcissism, Toxic Love & Male Identity | Mark Manson | FO503 Raj Shamani",2026-04-30T15:39:00Z,895483,20476,1094,10796.0
CdsneNlNpXw,"The Hidden Danger in Rice and Wheat: Focus Issues, Iron Loss & Anemia | Ravinder | FO502 Raj Shamani",2026-04-28T15:39:00Z,1020659,11257,638,4336.0
rb9536WrfDA,"⁠Indian Diet Problem: Low Protein, High Calories & Muscle Loss | Prashant Desai | FO501 Raj Shamani",2026-04-25T15:42:30Z,868001,15586,1166,7668.0
w9TAdQxshhg,"Inside the World’s Deadliest Jungle: Snakes, Tigers & Survival | Paul Rosolie | FO500 Raj Shamani",2026-04-23T15:39:30Z,4398871,103787,4254,9280.0
7fsb6ZESyzE,"Earn Crores with AI: Business Ideas, Claude, Free Tools & Prompts | Vaibhav | FO499 Raj Shamani",2026-04-21T15:40:25Z,2274006,56473,1766,8029.0
3dqWCppVKCU,"How to Build Saree Brand: Strategy, Systems, AI & Profit | Prasad Chalavadi | FO498 Raj Shamani",2026-04-18T15:39:00Z,443854,7652,552,5362.0
sX6gEwH-SA4,"Khan Sir on India’s Reality, Government, Education System, Politics & Poverty | FO497 Raj Shamani",2026-04-16T15:39:00Z,6808642,278474,40070,3805.0
ZfMEVzUKlcU,"Degrees vs Skills Debate: ROI, Jobs, IITs & Real Career Outcomes | Arpit Agrawal | FO496 Raj Shamani",2026-04-14T15:39:00Z,393327,13099,1281,5426.0
vFrkf8WyJVc,"Ankur Warikoo on People Living a Fake Life, Societal Pressure & Staying Poor | FO495 Raj Shamani",2026-04-11T15:39:00Z,1592088,34829,1844,7690.0
q1hvfs-VL5U,"How to Build a Big Brand: Gen Z, Packaging & Influencer Marketing | Suyash Saraf | FO494 Raj Shamani",2026-04-09T15:39:00Z,399673,8982,382,5584.0
7B9ouInLN9E,"Why Bengal Is Declining: Politics, Violence & Mamata Banerjee | Mrityunjay | FO493 Raj Shamani",2026-04-07T15:39:00Z,2662547,47444,4896,8486.0
x5lkswNc1Wc,"Janhvi Kapoor on Addictions, Bollywood, Childhood, Parents & Relationships | FO492 Raj Shamani",2026-04-04T15:39:00Z,1948671,31239,2873,7616.0
5suNXiI1vjQ,Indian Diplomat Explains: India vs US vs China & Trump | Syed Akbaruddin | FO491Raj Shamani,2026-04-02T15:39:00Z,1936428,16167,1057,11654.0
